trial,AlienRatio,Dimension,distortMode,i,j,charID,scale,rotate,alien,0,1,2,3,4
5,0.3570939270679497,1,Composite,4,4,325,0.7699717031363735,-0.01814592468694265,0,,,,,
5,0.3570939270679497,1,Composite,4,5,325,0.662772404500153,-1.0669842064939568,0,,,,,
5,0.3570939270679497,1,Composite,4,6,77,0.6118256234882327,-1.4156349785297835,1,,,,,
5,0.3570939270679497,1,Composite,4,7,325,0.8719466503768243,0.779059335341747,0,,,,,
5,0.3570939270679497,1,Composite,4,8,325,0.6049448866709424,-0.7178481716589034,0,,,,,
5,0.3570939270679497,1,Composite,4,9,325,0.8198218109722106,-0.8432206729852133,0,,,,,
5,0.3570939270679497,1,Composite,4,10,325,-0.7469940077124572,1.5430995075024825,0,,,,,
5,0.3570939270679497,1,Composite,4,11,325,0.7452015624748856,-0.596532531490607,0,,,,,
5,0.3570939270679497,1,Composite,5,0,325,0.7695968748392313,0.5397910675923074,0,,,,,
5,0.3570939270679497,1,Composite,5,1,325,0.8161145949668142,1.2542622017832095,0,,,,,
5,0.3570939270679497,1,Composite,5,2,16,-0.7682137928865937,0.9962547193209024,1,14051.400000095367,,,,
5,0.3570939270679497,1,Composite,5,3,107,0.6544138259680206,-1.0969199756107966,1,20801.5,,,,
5,0.3570939270679497,1,Composite,5,4,325,0.7072910754607443,0.9516202319368272,0,,,,,
5,0.3570939270679497,1,Composite,5,5,325,0.7260707403581242,-1.501531225058454,0,,,,,
5,0.3570939270679497,1,Composite,5,6,325,0.8343283010325581,0.025095984692602435,0,,,,,
5,0.3570939270679497,1,Composite,5,7,325,0.7080729214752866,-0.9515472439763625,0,,,,,
5,0.3570939270679497,1,Composite,5,8,325,0.8542154261292914,0.43023110582996704,0,,,,,
5,0.3570939270679497,1,Composite,5,9,0,0.8772515386057402,-1.0827397379310164,1,,,,,
5,0.3570939270679497,1,Composite,5,10,325,0.7511667131582578,0.5826944922203507,0,,,,,
5,0.3570939270679497,1,Composite,5,11,325,0.602139188720932,0.066445637927252,0,,,,,
5,0.3570939270679497,1,Composite,6,0,325,0.6010852514412484,1.54522705663617,0,,,,,
5,0.3570939270679497,1,Composite,6,1,325,0.7422194801378125,-0.4494681495020165,0,,,,,
5,0.3570939270679497,1,Composite,6,2,342,-0.7367869573459056,1.2583617789890424,1,15631.900000095367,,,,
5,0.3570939270679497,1,Composite,6,3,325,0.6209246538126876,0.3702264088381151,0,,,,,
5,0.3570939270679497,1,Composite,6,4,325,-0.7688541501079547,-0.44241683788358,0,25725.400000095367,27742.900000095367,,,
5,0.3570939270679497,1,Composite,6,5,136,0.7944624665671747,-0.6851871298022023,1,,,,,
5,0.3570939270679497,1,Composite,6,6,325,0.8616672525031712,-0.09451517006189092,0,,,,,
5,0.3570939270679497,1,Composite,6,7,325,0.7151825226743029,-0.0029033470215775736,0,,,,,
5,0.3570939270679497,1,Composite,6,8,325,0.8324228932458982,-0.19395060952175647,0,,,,,
5,0.3570939270679497,1,Composite,6,9,325,0.7074569182877901,0.35086093538294505,0,,,,,
5,0.3570939270679497,1,Composite,6,10,325,0.897735404770519,-1.2783482324067839,0,,,,,
5,0.3570939270679497,1,Composite,6,11,325,0.6437674028950814,0.23684222055875237,0,,,,,
5,0.3570939270679497,1,Composite,7,0,239,-0.6218903063096413,-1.5630994195885233,1,9589.099999904633,,,,
5,0.3570939270679497,1,Composite,7,1,236,0.8742322319692468,-0.5988026946765577,1,5065.900000095367,,,,
5,0.3570939270679497,1,Composite,7,2,263,0.6880452219990495,1.4828311410495592,1,17283.299999952316,,,,
