trial,AlienRatio,Dimension,distortMode,i,j,charID,scale,rotate,alien,0,1,2,3,4,5,6,7
5,0.3253824698905203,1,Rotate,0,6,231,0.8,0.7400299972948408,0,,,,,,,,
5,0.3253824698905203,1,Rotate,0,7,333,0.8,0.7346948207610988,1,25623.70000000001,,,,,,,
5,0.3253824698905203,1,Rotate,0,8,231,0.8,-1.5390295106084914,0,,,,,,,,
5,0.3253824698905203,1,Rotate,0,9,231,0.8,0.7682982848945321,0,,,,,,,,
5,0.3253824698905203,1,Rotate,0,10,199,-0.8,0.57771807091722,1,,,,,,,,
5,0.3253824698905203,1,Rotate,0,11,226,0.8,1.2301442604299715,1,,,,,,,,
5,0.3253824698905203,1,Rotate,1,0,231,0.8,-0.4740618761344011,0,,,,,,,,
5,0.3253824698905203,1,Rotate,1,1,231,0.8,0.579469399002857,0,,,,,,,,
5,0.3253824698905203,1,Rotate,1,2,231,0.8,1.1921502620038024,0,,,,,,,,
5,0.3253824698905203,1,Rotate,1,3,231,0.8,1.0663561763002773,0,,,,,,,,
5,0.3253824698905203,1,Rotate,1,4,231,0.8,-0.4408916735068815,0,,,,,,,,
5,0.3253824698905203,1,Rotate,1,5,62,0.8,-0.9556306274565791,1,16848.600000000006,,,,,,,
5,0.3253824698905203,1,Rotate,1,6,231,0.8,1.255604901142866,0,,,,,,,,
5,0.3253824698905203,1,Rotate,1,7,70,0.8,-1.1806698029902542,1,25115.29999999999,,,,,,,
5,0.3253824698905203,1,Rotate,1,8,231,0.8,-1.5446536281052358,0,,,,,,,,
5,0.3253824698905203,1,Rotate,1,9,231,0.8,-0.5540324800657068,0,,,,,,,,
5,0.3253824698905203,1,Rotate,1,10,292,0.8,1.3874854279885315,1,,,,,,,,
5,0.3253824698905203,1,Rotate,1,11,231,0.8,-0.8833507796681078,0,,,,,,,,
5,0.3253824698905203,1,Rotate,2,0,231,0.8,0.608150290199958,0,,,,,,,,
5,0.3253824698905203,1,Rotate,2,1,231,0.8,-0.6561482836332426,0,,,,,,,,
5,0.3253824698905203,1,Rotate,2,2,141,0.8,-0.7887845319068757,1,,,,,,,,
5,0.3253824698905203,1,Rotate,2,3,231,0.8,-0.7323924916392367,0,,,,,,,,
5,0.3253824698905203,1,Rotate,2,4,211,0.8,0.9427317487087747,1,12097.800000000005,,,,,,,
5,0.3253824698905203,1,Rotate,2,5,231,0.8,-1.1047160407849145,0,,,,,,,,
5,0.3253824698905203,1,Rotate,2,6,231,0.8,0.7839011200233328,0,,,,,,,,
5,0.3253824698905203,1,Rotate,2,7,231,0.8,-0.8234301126958452,0,,,,,,,,
5,0.3253824698905203,1,Rotate,2,8,231,0.8,-1.1756288067669702,0,,,,,,,,
5,0.3253824698905203,1,Rotate,2,9,231,0.8,-1.4250465245676076,0,,,,,,,,
5,0.3253824698905203,1,Rotate,2,10,231,0.8,-1.0637788029071035,0,,,,,,,,
5,0.3253824698905203,1,Rotate,2,11,231,-0.8,1.2336745538264595,0,,,,,,,,
5,0.3253824698905203,1,Rotate,3,0,24,0.8,-1.3170544032853337,1,1446.9000000000087,,,,,,,
5,0.3253824698905203,1,Rotate,3,1,231,0.8,-1.4639675798359244,0,,,,,,,,
5,0.3253824698905203,1,Rotate,3,2,231,0.8,1.4885668187514404,0,,,,,,,,
5,0.3253824698905203,1,Rotate,3,3,382,0.8,1.204415571307226,1,10282.0,,,,,,,
5,0.3253824698905203,1,Rotate,3,4,250,0.8,-1.3540880362161722,1,12686.300000000005,,,,,,,
5,0.3253824698905203,1,Rotate,3,5,231,-0.8,0.5803802175281363,0,,,,,,,,
5,0.3253824698905203,1,Rotate,3,6,231,0.8,1.0557967553959537,0,,,,,,,,
5,0.3253824698905203,1,Rotate,3,7,231,0.8,-0.12889977179350898,0,,,,,,,,
5,0.3253824698905203,1,Rotate,3,8,110,0.8,-0.17033495953842026,1,26732.20000000001,,,,,,,
5,0.3253824698905203,1,Rotate,3,9,231,0.8,1.5474105106065536,0,,,,,,,,
5,0.3253824698905203,1,Rotate,3,10,231,0.8,1.4913716879470766,0,,,,,,,,
5,0.3253824698905203,1,Rotate,3,11,231,0.8,0.3500803310689584,0,,,,,,,,
5,0.3253824698905203,1,Rotate,4,0,345,0.8,1.2384784989249424,1,2279.800000000003,,,,,,,
5,0.3253824698905203,1,Rotate,4,1,77,0.8,1.0131203713117691,1,5146.400000000009,,,,,,,
5,0.3253824698905203,1,Rotate,4,2,231,-0.8,-0.5611152129196986,0,,,,,,,,
5,0.3253824698905203,1,Rotate,4,3,294,0.8,-1.319064719630263,1,9914.199999999995,,,,,,,
5,0.3253824698905203,1,Rotate,4,4,164,0.8,1.5142679900609348,1,13653.5,,,,,,,
5,0.3253824698905203,1,Rotate,4,5,231,0.8,0.8493772771307726,0,,,,,,,,
5,0.3253824698905203,1,Rotate,4,6,231,0.8,-1.3812427886187768,0,,,,,,,,
5,0.3253824698905203,1,Rotate,4,7,231,0.8,-0.20627197520449614,0,,,,,,,,
5,0.3253824698905203,1,Rotate,4,8,231,0.8,-1.4175341248223711,0,,,,,,,,
5,0.3253824698905203,1,Rotate,4,9,231,0.8,0.22521238860932202,0,,,,,,,,
5,0.3253824698905203,1,Rotate,4,10,231,0.8,-0.6198204632519858,0,,,,,,,,
5,0.3253824698905203,1,Rotate,4,11,41,0.8,-0.08130325621759615,1,,,,,,,,
5,0.3253824698905203,1,Rotate,5,0,349,-0.8,-0.2205417335786899,1,,,,,,,,
5,0.3253824698905203,1,Rotate,5,1,177,-0.8,-0.9280118370636389,1,4746.600000000006,,,,,,,
5,0.3253824698905203,1,Rotate,5,2,231,0.8,0.1887809127790725,0,,,,,,,,
5,0.3253824698905203,1,Rotate,5,3,231,0.8,-0.22349159807467833,0,,,,,,,,
5,0.3253824698905203,1,Rotate,5,4,120,0.8,-0.48000303031419733,1,14033.800000000005,,,,,,,
5,0.3253824698905203,1,Rotate,5,5,231,0.8,0.1749247975888233,0,,,,,,,,
5,0.3253824698905203,1,Rotate,5,6,67,0.8,0.39106459129776305,1,18264.300000000003,,,,,,,
5,0.3253824698905203,1,Rotate,5,7,231,0.8,1.2287390360484602,0,,,,,,,,
5,0.3253824698905203,1,Rotate,5,8,165,0.8,0.29617965800137113,1,27389.70000000001,,,,,,,
5,0.3253824698905203,1,Rotate,5,9,220,0.8,1.4432578258156296,1,,,,,,,,
5,0.3253824698905203,1,Rotate,5,10,231,0.8,-0.42389451117379995,0,,,,,,,,
5,0.3253824698905203,1,Rotate,5,11,170,0.8,-1.2569896427271964,1,,,,,,,,
5,0.3253824698905203,1,Rotate,6,0,231,0.8,-0.3131650702135742,0,,,,,,,,
5,0.3253824698905203,1,Rotate,6,1,68,-0.8,-1.308153621564459,1,4268.100000000006,,,,,,,
5,0.3253824698905203,1,Rotate,6,2,302,0.8,1.0194733398262898,1,6564.199999999997,,,,,,,
5,0.3253824698905203,1,Rotate,6,3,231,0.8,-1.3099101008057172,0,,,,,,,,
5,0.3253824698905203,1,Rotate,6,4,231,0.8,0.30094126543295463,0,,,,,,,,
5,0.3253824698905203,1,Rotate,6,5,231,0.8,0.04013597246293421,0,,,,,,,,
5,0.3253824698905203,1,Rotate,6,6,231,0.8,1.0615256609474537,0,,,,,,,,
